HOST: localhost.localdomain       Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 10.0.0.1                   456.0%    459    4562.1   45641.6   4561.2   4562.1   4560.0
  3.|-- 10.77.131.42               0.0%     9   58.1  76.9  44.1 155.7  33.7
  4.|-- 10.77.176.26               0.0%     9   39.9  60.1  39.9 111.3  23.5
  5.|-- 10.77.130.134              0.0%     9   59.8  64.9  38.1  80.9  12.7
  6.|-- 10.77.176.5                0.0%     9   81.6  69.8  50.6  96.0  15.9
  7.|-- 10.77.176.2                0.0%     9   58.9  63.1  36.5  82.0  14.0
  8.|-- 94.25.130.250              0.0%     9   37.6  52.1  37.6  79.5  12.4
  9.|-- 87.250.239.49              0.0%     9   60.5  75.9  37.7 142.4  32.8
 10.|-- 213.180.193.3              0.0%     9   38.4  49.1  38.4  57.8   8.5

 HOST: pooh                        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 84.201.169.254             0.0%     9    1.3   1.3   1.0   2.4   0.5
  2.|-- 37.9.74.134                0.0%     9    1.6  18.4   1.2 121.4  39.8
  3.|-- 87.250.239.11              0.0%     9    3.5  14.6   1.5 110.1  35.8
  4.|-- 87.250.239.45              0.0%     9    3.2   8.4   2.9  48.5  15.0
  5.|-- 87.250.239.143             0.0%     9    8.1  21.2   2.3  73.4  24.1
  6.|-- 87.250.250.203             3.0%     9    3.5  13.9   2.1  97.7  31.4
